Myrtle Beach,20117718
Las Vegas,20079110
Orlando,20023488
New Orleans,20050264
Miami,20023181
Panama City Beach,20023560
New York City,20088325
Nashville,20123908
Atlantic City,-1502950
Pigeon Forge,20124359
Savannah,20029490
Daytona Beach,20022037
Miami Beach,20023182
Key West,20022831
San Diego,20015725
Atlanta,20024809
Los Angeles,20014181
Gatlinburg,20122200
Philadelphia,20111994
Destin,20022075
Clearwater Beach,20021863
Fort Lauderdale,20022339
Ocean City,20058684
San Francisco,20015732
Virginia Beach,20142297
South Padre Island,20131560
San Antonio,20131185
Biloxi,20068916
Tampa,20024246
Charleston,20115955
Chicago,20033173
Washington,20021296
Charlotte,20091627
Gulf Shores,20001848
Boston,20061717
Austin,20126394
Kissimmee,20022851
Dallas,20127504
Galveston,20128215
Pensacola Beach,20023606
Denver,20017349
Seattle,20144883
Jacksonville,20022757
Palm Springs,20015057
Tybee Island,20030265
St. Augustine,20023904
St. Pete Beach,20023922
Laughlin,20079111
Cocoa Beach,20021878
Phoenix,20006890
Reno,20079268
Fort Myers,20022348
Monterey,20014579
Sedona,20007140
Anaheim,20011324
Clearwater,20021863
Houston,20128761
Memphis,20123619
Orange Beach,20003299
Hilton Head Island,20116958
Pismo Beach,20015249
Naples,-122902
Sarasota,20023971
Asheville,20090971
Honolulu,20030916
Flagstaff,20006240
South Lake Tahoe,20016087
Key Largo,20022829
Branson,20071942
Portland,20104927
Niagara Falls,-570141
West Palm Beach,20024490
Chattanooga,20121171
Fort Myers Beach,20022348
Corpus Christi,20127357
St. Petersburg,-2996338
Long Beach,20014160
Panama City,-168008
Columbus,20097699
Wildwood,20082895
Santa Barbara,20015794
Wisconsin Dells,20151562
Louisville,20046120
Paris,-1456928
Santa Cruz,-401686
Dubai,-782831
Waco,20132129
St. George,20133950
Cancún,-1655011
Brooklyn,20085207
Colorado Springs,20017286
Traverse City,20066299
National Harbor,900040272
Scottsdale,20007132
Lincoln City,20104672
Big Bear Lake,20011629
Hollywood,1906
Portland,20104927
Minneapolis,20067845
Niagara Falls,-570141
Lubbock,20129490
Pensacola,20023606
Saint Louis,20075118
Albuquerque,20083006
Raleigh,20094466
Baltimore,20053799
Siesta Key,3526
Indianapolis,20037880
Detroit,20064402
Hot Springs,20009152
Ocala,20023419
Kailua-Kona,20030951
Tucson,20007417
Fort Walton Beach,20022359
Lancaster,-2600656
Seaside,20105036
Newport,-2604041
Rome,-126693
Cape May,20080742
Columbia,20116092
Duluth,20067097
San Juan,20154335
Lake Charles,20049780
Lincoln,-2601144
Islamorada,20022742
Cleveland,20097630
Shreveport,20050882
New Smyrna Beach,20023326
Lakeland,20022930
Vero Beach,20024388
Pittsburgh,20112087
San Jose,-1109108
Grand Rapids,20064786
Gulfport,20069723
Birmingham,-2589989
Cherokee,20091633
Mesquite,20079155
Laguna Beach,20013923
Fredericksburg,20128143
North Myrtle Beach,4097
Oklahoma City,20103321
Rehoboth Beach,20020722
Huntington Beach,20013595
El Paso,20127813
Jekyll Island,900049275
Tallahassee,20024241
Greenville,20116782
Wilmington,20095750
North Conway,20080026
Cincinnati,20097593
Deadwood,20119510
Florida City,20023560
Valdosta,20030311
Santa Fe,20084310
Moab,20133603
Midland,20129770
Sacramento,-906319
Hershey,20109088
Odessa,-1049092
Milwaukee,20150599
Providence,20115245
Leavenworth,20144123
Gainesville,20022398
Carmel,20012034
Solvang,20016049
Marco Island,900040416
Delray Beach,20022065
Anchorage,20004981
Bronx,20085196
Cannon Beach,20104153
Fort Worth,20128111
Boca Raton,20021614
Marathon,20023107
Williamsburg,20142668
Mesa,20006665
Temecula,20016365
Mount Pocono,20111140
Frankenmuth,20064669
Rosarito,-1694216
San Luis Obispo,20015752
Baton Rouge,20048321
Mobile,20002883
Amarillo,20126270
Queens,900039039
Richmond,20141027
Columbus,20097699
San Antonio,20131185
Springfield,20075377
Kansas City,20073662
Knoxville,20123103
Lexington,20046010
Des Moines,20040350
Yuma,20007621
Tuscaloosa,20004535
Venice,-132007
Oceanside,20014909
Ormond Beach,20023490
